site_name,site_id,latitude,longitude
Ordway-Swisher Biological Station - Barco Lake,BARC,29.67647,-82.00909
Crampton Lake,CRAM,46.21111,-89.47825
Little Rock Lake,LIRO,45.998269,-89.704767
Prairie Lake at Dakota Coteau Field School,PRLA,47.15909,-99.11388
Prairie Pothole,PRPO,47.12999,-99.25055
Ordway-Swisher Biological Station - Suggs Lake,SUGG,29.68705,-82.01617
Toolik Lake,TOOL,68.630692,-149.610636
Falling Creek Reservoir,fcre,37.303153,-79.837217
Beaverdam Reservoir,bvre,37.312909,-79.815936
Carvins Cove Reservoir,ccre,37.370259,-79.95856
Lake Sunapee,sunp,43.392869,-72.058199
Lough Feeagh,feea,53.948889,-9.575556
Lake Alexandrina,ALEX,-35.436808, 139.168997